time,price
1683105000000,1866.70000000
1683105300000,1866.67000000
1683105600000,1865.39000000
1683105900000,1866.71000000
1683106200000,1866.49000000
1683106500000,1866.47000000
1683106800000,1865.84000000
1683107100000,1867.14000000
1683107400000,1867.54000000
1683107700000,1867.57000000
1683108000000,1868.41000000
1683108300000,1867.58000000
1683108600000,1868.49000000
1683108900000,1869.32000000
1683109200000,1867.55000000
1683109500000,1867.84000000
1683109800000,1866.32000000
1683110100000,1866.03000000
1683110400000,1867.67000000
1683110700000,1867.75000000
1683111000000,1869.02000000
1683111300000,1865.43000000
1683111600000,1864.89000000
1683111900000,1865.00000000
1683112200000,1865.37000000
1683112500000,1865.34000000
1683112800000,1864.50000000
1683113100000,1865.90000000
1683113400000,1866.59000000
1683113700000,1866.96000000
1683114000000,1862.67000000
1683114300000,1864.13000000
1683114600000,1863.12000000
1683114900000,1862.55000000
1683115200000,1859.32000000
1683115500000,1858.73000000
1683115800000,1859.45000000
1683116100000,1857.76000000
1683116400000,1859.18000000
1683116700000,1857.86000000
1683117000000,1859.64000000
1683117300000,1857.81000000
1683117600000,1858.63000000
1683117900000,1850.07000000
1683118200000,1851.76000000
1683118500000,1848.71000000
1683118800000,1850.14000000
1683119100000,1848.00000000
1683119400000,1846.63000000
1683119700000,1850.25000000
1683120000000,1851.40000000
1683120300000,1851.01000000
1683120600000,1851.29000000
1683120900000,1856.21000000
1683121200000,1853.61000000
1683121500000,1856.02000000
1683121800000,1854.96000000
1683122100000,1858.51000000
1683122400000,1856.75000000
1683122700000,1855.55000000
1683123000000,1855.55000000
1683123300000,1854.37000000
1683123600000,1853.51000000
1683123900000,1854.25000000
1683124200000,1851.44000000
1683124500000,1852.19000000
1683124800000,1847.88000000
1683125100000,1852.00000000
1683125400000,1849.62000000
1683125700000,1851.21000000
1683126000000,1848.17000000
1683126300000,1845.61000000
1683126600000,1848.27000000
1683126900000,1850.81000000
1683127200000,1852.05000000
1683127500000,1848.83000000
1683127800000,1847.69000000
1683128100000,1848.22000000
1683128400000,1851.95000000
1683128700000,1851.99000000
1683129000000,1851.38000000
1683129300000,1852.50000000
1683129600000,1853.32000000
1683129900000,1853.31000000
1683130200000,1854.12000000
1683130500000,1852.81000000
1683130800000,1851.47000000
1683131100000,1859.65000000
1683131400000,1860.78000000
1683131700000,1856.15000000
1683132000000,1857.03000000
1683132300000,1857.04000000
1683132600000,1861.21000000
1683132900000,1862.24000000
1683133200000,1864.99000000
1683133500000,1866.81000000
1683133800000,1863.92000000
1683134100000,1865.09000000
